repository,pr_number,author,primary_reviewer,first_review_latency_hours,discussion_volume,loc_changed,prior_prs,acceptance_rate,formal_reviews,experience_category
supabase/supabase,42545,gregnr,MildTomato,14.3,4,15,39,0.95,63,Core Reviewer
supabase/supabase,42535,seanoliver,coderabbitai,0.08,5,50,38,0.76,19,Core Reviewer
supabase/supabase,42533,charislam,coderabbitai,0.12,5,200,366,0.92,846,Core Reviewer
supabase/supabase,42528,gregnr,coderabbitai,0.16,4,86,39,0.95,63,Core Reviewer
supabase/supabase,42525,singh-inder,coderabbitai,23.05,4,13,10,0.7,0,Noisy Author
supabase/supabase,42524,mandarini,coderabbitai,0.07,5,109,35,0.77,11,Core Reviewer
supabase/supabase,42523,mandarini,theccres,0.18,3,28303,35,0.77,11,Core Reviewer
supabase/supabase,42522,mandarini,theccres,0.17,2,110,35,0.77,11,Core Reviewer
supabase/supabase,42521,mattrossman,charislam,0.81,3,32,27,0.96,8,Core Reviewer
supabase/supabase,42518,awaseem,charislam,217.37,5,222,140,0.91,257,Core Reviewer
supabase/supabase,42514,aantti,sweatybridge,0.1,3,25,39,0.97,16,Core Reviewer
supabase/supabase,42512,joshenlim,coderabbitai,0.07,4,68,682,0.96,696,Core Reviewer
supabase/supabase,42510,mattrossman,awaseem,0.35,3,2,27,0.96,8,Core Reviewer
supabase/supabase,42509,supabase-supabase-autofixer,gregnr,0.74,2,28303,0,0.0,0,Novice
supabase/supabase,42508,supabase-supabase-autofixer,awaseem,0.46,2,110,0,0.0,0,Novice
supabase/supabase,42506,mandarini,coderabbitai,0.33,6,109,35,0.77,11,Core Reviewer
supabase/supabase,42504,aantti,coderabbitai,0.09,4,2,39,0.97,16,Core Reviewer
supabase/supabase,42503,jordienr,kemaldotearth,0.92,3,10,277,0.83,266,Core Reviewer
supabase/supabase,42500,joshenlim,coderabbitai,0.11,6,230,682,0.96,696,Core Reviewer
supabase/supabase,42497,joshenlim,alaister,1.15,3,63,682,0.96,696,Core Reviewer
supabase/supabase,42496,kevcodez,coderabbitai,0.08,9,280,148,0.97,137,Core Reviewer
supabase/supabase,42493,inian,coderabbitai,0.06,4,82,10,0.9,12,Core Reviewer
supabase/supabase,42492,joshenlim,coderabbitai,0.21,14,1262,682,0.96,696,Core Reviewer
supabase/supabase,42476,dnywh,joshenlim,5.29,3,4,145,0.89,64,Core Reviewer
supabase/supabase,42475,awaseem,coderabbitai,0.08,5,515,140,0.91,257,Core Reviewer
supabase/supabase,42467,kallebysantos,laktek,0.3,3,15,19,0.74,7,Core Reviewer
supabase/supabase,42464,supabase-supabase-autofixer,ChrisChinchilla,6.57,2,449,0,0.0,0,Novice
supabase/supabase,42463,charislam,coderabbitai,0.06,4,9,366,0.92,846,Core Reviewer
supabase/supabase,42462,awaseem,jordienr,16.99,3,4,140,0.91,257,Core Reviewer
supabase/supabase,42458,awaseem,charislam,1.04,3,79,140,0.91,257,Core Reviewer
supabase/supabase,42457,awaseem,charislam,1.76,3,74,140,0.91,257,Core Reviewer
supabase/supabase,42455,awaseem,coderabbitai,0.18,5,2,140,0.91,257,Core Reviewer
supabase/supabase,42454,supabase-supabase-autofixer,charislam,0.58,2,37050,0,0.0,0,Novice
supabase/supabase,42452,supabase-supabase-autofixer,ivasilov,0.52,2,108,0,0.0,0,Novice
