repository,pr_number,author,primary_reviewer,first_review_latency_hours,time_to_merge_hours,first_review_state,inline_comment_density,total_discussion_volume,loc_changed,prior_prs,acceptance_rate,formal_reviews,experience_category
freeCodeCamp/freeCodeCamp,65942,ojeytonwilliams,moT01,6.6,6.64,APPROVED,0.0,1,46,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65941,ojeytonwilliams,raisedadead,0.02,0.07,APPROVED,0.0,3,44,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65940,camperbot,majestic-owl448,1.32,1.32,APPROVED,0.0,1,1454,391,0.98,0,Reliable Author
freeCodeCamp/freeCodeCamp,65938,AdityaSingh-18,gikf,1.14,20.72,APPROVED,0.0,4,2,43,0.93,2,Reliable Author
freeCodeCamp/freeCodeCamp,65936,DanielRosa74,ojeytonwilliams,25.1,25.11,APPROVED,0.0,2,46,54,0.96,98,Core Reviewer
freeCodeCamp/freeCodeCamp,65933,ojeytonwilliams,raisedadead,3.56,3.57,APPROVED,0.0,3,2,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65928,jdwilkin4,Jeevankumar-s,57.79,75.41,COMMENTED,0.0029,3,1753,207,0.97,1012,Core Reviewer
freeCodeCamp/freeCodeCamp,65924,Jeevankumar-s,majestic-owl448,1.64,1.64,APPROVED,0.0,1,4,74,0.88,16,Core Reviewer
freeCodeCamp/freeCodeCamp,65917,tarant28,majestic-owl448,1.3,1.77,APPROVED,0.0,4,4,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65914,AnanthuNarashimman,gikf,0.76,2.18,APPROVED,0.0,3,2,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65911,majestic-owl448,ojeytonwilliams,1.56,6.68,CHANGES_REQUESTED,0.0013,2,1522,228,0.96,1798,Core Reviewer
freeCodeCamp/freeCodeCamp,65899,Jeevankumar-s,majestic-owl448,21.87,22.43,COMMENTED,0.25,2,4,74,0.88,16,Core Reviewer
freeCodeCamp/freeCodeCamp,65895,camperbot,majestic-owl448,23.76,23.76,APPROVED,0.0,1,12758,391,0.98,0,Reliable Author
freeCodeCamp/freeCodeCamp,65885,Jeevankumar-s,majestic-owl448,0.71,66.35,COMMENTED,0.0,5,5,74,0.88,16,Core Reviewer
freeCodeCamp/freeCodeCamp,65884,Jeevankumar-s,majestic-owl448,0.06,0.98,COMMENTED,0.25,5,4,74,0.88,16,Core Reviewer
freeCodeCamp/freeCodeCamp,65881,majestic-owl448,zairahira,30.62,96.13,APPROVED,0.0,2,109,228,0.96,1798,Core Reviewer
freeCodeCamp/freeCodeCamp,65878,ojeytonwilliams,majestic-owl448,65.38,133.67,COMMENTED,0.0137,3,73,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65877,ojeytonwilliams,naomi-freecodecamp,0.28,8.08,APPROVED,0.0,2,284,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65876,Jeevankumar-s,majestic-owl448,0.12,1.49,CHANGES_REQUESTED,0.0274,7,73,74,0.88,16,Core Reviewer
freeCodeCamp/freeCodeCamp,65872,majestic-owl448,Jeevankumar-s,4.06,175.92,COMMENTED,0.0088,3,114,228,0.96,1798,Core Reviewer
freeCodeCamp/freeCodeCamp,65871,ojeytonwilliams,Sembauke,27.97,27.97,APPROVED,0.0,1,7,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65870,jdwilkin4,ahmaxed,44.25,267.16,APPROVED,0.0017,3,2412,207,0.97,1012,Core Reviewer
freeCodeCamp/freeCodeCamp,65869,Sembauke,ojeytonwilliams,2.64,3.34,CHANGES_REQUESTED,0.004,2,247,242,0.78,923,Core Reviewer
freeCodeCamp/freeCodeCamp,65868,ojeytonwilliams,Sembauke,3.05,3.05,APPROVED,0.0,1,19,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65866,majestic-owl448,Jeevankumar-s,2.53,94.35,COMMENTED,0.0236,4,127,228,0.96,1798,Core Reviewer
freeCodeCamp/freeCodeCamp,65865,ojeytonwilliams,Sembauke,0.59,0.76,APPROVED,0.0,2,98,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65864,moT01,ojeytonwilliams,121.84,177.57,APPROVED,0.0006,4,3140,287,0.95,958,Core Reviewer
freeCodeCamp/freeCodeCamp,65862,ojeytonwilliams,Sembauke,14.89,14.89,APPROVED,0.0,2,6,608,0.94,500,Core Reviewer
